,baseline_age,DUP_months,DAT_months,SAPS_Total,SANS_Total,SAPS_Total_10y,SANS_Total_10y,DAS_Global_10y,gender,cannabis_use,hospital_admission,diagnosis,recovery_status_10y,active_10y
baseline_age,1.0,0.3380514455767153,0.009690440055883856,-0.025213717098843028,-0.20260622623633653,-0.14341644885611504,-0.04639960254956164,-0.06897730819421825,-0.2932774742208274,-0.4221032583016118,-0.059590779968171095,-0.06692838780227396,-0.05559831791241485,0.04754841144449927
DUP_months,0.3380514455767153,1.0,0.04840700581326479,0.08066184988818767,0.01771437328142002,0.024264883266512553,0.12835838120698032,0.06323963496040286,-0.07268204958768587,-0.19479175198344462,-0.05015911913632301,0.04203170687790816,0.03148736843575161,-0.05164005105849866
DAT_months,0.009690440055883856,0.04840700581326479,1.0,-0.04495169716084892,0.010757301649204326,0.12396019387033451,0.19692692337845014,0.20503178771407904,-0.023283171102859396,-0.01375505388935978,-0.03569551416042446,0.10077701626312617,-0.16342118052126747,0.1637408687852274
SAPS_Total,-0.025213717098843028,0.08066184988818767,-0.04495169716084892,1.0,0.01079805896748945,0.10237268905018919,0.12554217645219332,0.04423550257399582,0.019737836813808522,0.14665681629847008,-0.2689514372592301,0.10151153774015793,-0.09701804089642702,0.12403494684566868
SANS_Total,-0.20260622623633653,0.01771437328142002,0.010757301649204326,0.01079805896748945,1.0,0.20609282226757022,0.3227295106438321,0.20052977712808495,0.05887889454988569,0.012346183721696753,-0.11068609675459166,0.12300988915382825,-0.032834458640066844,0.005672941961246764
SAPS_Total_10y,-0.14341644885611504,0.024264883266512553,0.12396019387033451,0.10237268905018919,0.20609282226757022,1.0,0.46362788131879773,0.45503611580051984,0.1424469650028378,0.12695310140348973,0.049835825633928715,-0.022283080996688524,-0.2155954323636237,0.21896353654442421
SANS_Total_10y,-0.04639960254956164,0.12835838120698032,0.19692692337845014,0.12554217645219332,0.3227295106438321,0.46362788131879773,1.0,0.7896715542459537,0.1723518694985996,0.011071538723166697,-0.09140727702424795,0.11339020299127452,-0.3793674603935294,0.3841379299944236
DAS_Global_10y,-0.06897730819421825,0.06323963496040286,0.20503178771407904,0.04423550257399582,0.20052977712808495,0.45503611580051984,0.7896715542459537,1.0,0.21602685463893997,0.07981373436682528,-0.16899653182401433,0.049852225652664325,-0.5109457071056025,0.5109457071056026
gender,-0.2932774742208274,-0.07268204958768587,-0.023283171102859396,0.019737836813808522,0.05887889454988569,0.1424469650028378,0.1723518694985996,0.21602685463893997,1.0,0.35514761645537474,-0.10022539832261,-0.001586623921904781,-0.05576964326811776,0.05142788760202726
cannabis_use,-0.4221032583016118,-0.19479175198344462,-0.01375505388935978,0.14665681629847008,0.012346183721696753,0.12695310140348973,0.011071538723166697,0.07981373436682528,0.35514761645537474,1.0,-0.022008368549846436,-0.02033689538333679,-0.12806008012359238,0.1665948946113755
hospital_admission,-0.059590779968171095,-0.05015911913632301,-0.03569551416042446,-0.2689514372592301,-0.11068609675459166,0.049835825633928715,-0.09140727702424795,-0.16899653182401433,-0.10022539832261,-0.022008368549846436,1.0,-0.008586930174286703,0.1970582030357009,-0.21988824394805598
diagnosis,-0.06692838780227396,0.04203170687790816,0.10077701626312617,0.10151153774015793,0.12300988915382825,-0.022283080996688524,0.11339020299127452,0.049852225652664325,-0.001586623921904781,-0.02033689538333679,-0.008586930174286703,1.0,0.04282071025421608,-0.0719667543474458
recovery_status_10y,-0.05559831791241485,0.03148736843575161,-0.16342118052126747,-0.09701804089642702,-0.032834458640066844,-0.2155954323636237,-0.3793674603935294,-0.5109457071056025,-0.05576964326811776,-0.12806008012359238,0.1970582030357009,0.04282071025421608,1.0,-1.0
active_10y,0.04754841144449927,-0.05164005105849866,0.1637408687852274,0.12403494684566868,0.005672941961246764,0.21896353654442421,0.3841379299944236,0.5109457071056026,0.05142788760202726,0.1665948946113755,-0.21988824394805598,-0.0719667543474458,-1.0,1.0
