Variable,Category,Count (n),Percentage (%)
gender,Male,179,58.31
gender,Female,128,41.69
diagnosis,Schizophrenia,184,59.93
diagnosis,Schizophreniform,71,23.13
diagnosis,Non-organic psychosis,24,7.82
diagnosis,Brief reactive psychosis,23,7.49
diagnosis,Schizoaffective,5,1.63
education,High School,155,50.49
education,Primary School,152,49.51
socioeconomic_status,Low,171,55.7
socioeconomic_status,Medium/Higher,132,43.0
socioeconomic_status,Unknown,4,1.3
employment,Inactive/Other,158,51.47
employment,Active (Work/Study),149,48.53
marital_status,Single,237,77.2
marital_status,Married,70,22.8
lives_with_parents,Yes,169,55.05
lives_with_parents,No,138,44.95
family_hx_psychosis,No,236,76.87
family_hx_psychosis,Yes,71,23.13
hospital_admission,Admitted,195,63.52
hospital_admission,Avoided,112,36.48
cannabis_use,No,171,55.7
cannabis_use,Yes,136,44.3
attrition_status,Returned for Follow-up,210,68.4
attrition_status,Withdrew / Lost to Follow-up,87,28.34
attrition_status,Deceased,10,3.26
recovery_status,Not recovered,111,36.16
recovery_status,,97,31.6
recovery_status,Recovered,58,18.89
recovery_status,Unknown,41,13.36
